"","genres","count","mean_g"
"1","Drama",3910127,3.67313069370893
"2","Comedy",3540930,3.4369081004143
"3","Action",2560545,3.42140462284396
"4","Thriller",2325899,3.50767574172395
"5","Adventure",1908892,3.49354389876431
"6","Romance",1712100,3.55381344547632
"7","Sci-Fi",1341183,3.39574316107496
"8","Crime",1327715,3.66592529270212
"9","Fantasy",925637,3.50194622730077
"10","Children",737994,3.41871546381136
"11","Horror",691485,3.26981496344823
"12","Mystery",568332,3.6770012950177
"13","War",511147,3.78081256468296
"14","Animation",467168,3.60064366566203
"15","Musical",433080,3.56330470120994
"16","Western",189394,3.5559178221063
"17","Film-Noir",118541,4.01162466994542
"18","Documentary",93066,3.78348698772914
"19","IMAX",8181,3.76769343601027
"20","(no genres listed)",7,3.64285714285714
